"Name of Experiment","AF3","F7","F3","FC5","T7","P7","O1","O2","P8","T8","FC6","F4","F8","AF4"
"EyesClosed","5.584267791976982","6.64236662597245","4.962467248366488","6.165457807017937","5.583334996742726","4.658079219058688","3.9039004313268864","5.131325225922562","5.9861873561355345","6.40843809507931","5.664707343721571","5.606055988545011","5.913669244521407","6.200500118050582"
"EyesOpened","8.366375253520435","8.490786442200509","6.814290734531903","8.051289353583531","7.544386123169173","6.097030590604727","6.113320933854325","6.406912419528552","7.044663793220601","7.254624245158535","7.461811074758846","6.367645401906191","8.379825438017063","7.376354002291231"
"EyesClosed","6.163902573870127","6.265516302764018","4.100220404244378","5.890069225672153","7.127669525143143","4.1417406990994055","4.513185310345596","5.69647282878725","6.07199173337467","6.854373647405637","5.66553379330772","5.0492107200516445","6.296107849350271","6.443020667347198"
"EyesOpened","7.90202374290186","7.165720502569483","6.700471321910916","7.5446669297027915","8.652482182307422","7.095710362347999","6.042982849627064","5.928940036724951","7.1978384994828515","8.1630291055748","6.863739012455025","5.98289357699993","8.003189537382871","7.582363425656188"
"EyesClosed","5.376583939154006","7.34729222001535","4.098492211196707","4.724549971582961","5.274347816367857","4.54475125829743","3.7782364293757578","4.647451187808739","5.47468948319266","5.251712159151868","4.7200851585546175","5.204145162474661","5.796094500128499","5.355752037588627"
"EyesOpened","6.93982558046863","6.793245970065857","6.082770437201068","7.428327984382485","7.646112740010102","4.794522201991252","4.47534657404163","4.9691883727649016","6.532321111381097","7.014543276226905","6.52837929616915","5.96132511591249","6.977343120654774","7.08899765965195"
"EyesClosed","6.011243301738713","5.816063469537522","4.6511335768769015","5.726442264845274","5.78842305889157","4.8900527877602675","4.39875062494555","4.927966226658314","5.671165457556372","6.221518416766809","5.736855428499694","5.40377434000904","6.391130788776729","6.117968276374296"
"EyesOpened","7.656273846009862","8.725953971715072","6.962699431100897","8.128162516609116","7.7997884444468895","6.0428038541636955","6.849037629179316","6.7092293236852","6.96980311091848","8.103372023026644","7.544764445268433","6.835076923223004","8.588045084572656","8.179502862234862"
"EyesClosed","3.823412780224708","5.260674125911111","5.9081571198887035","5.866113866061694","5.730820842177763","5.368641488132626","5.041166176030529","5.152229093406464","6.041306830061449","5.932457503257757","6.129643072465705","5.742634129969831","6.149542919529472","6.402760883312311"
"EyesOpened","7.8035802781445165","8.9194606409512","8.881080970405222","8.731812860366725","8.792308286736715","8.77015248199959","8.593589062874328","8.831818276589996","8.916634596249278","9.090884555726838","8.84814281149384","9.074970350290412","9.08335780693261","9.07924149370462"
"EyesClosed","4.04190755294027","5.980680633186587","7.684994141198203","7.098454940579632","6.132546509654086","6.038523833133707","6.029944085268772","5.412542455298258","7.679150211076909","6.545796698273999","7.278063209842524","6.890975421545799","6.639733167481312","6.466949156719906"
"EyesOpened","7.380799956797214","8.56916177733963","8.770478949283142","8.455547162387228","8.762352769359502","8.045403116791109","7.673575490525572","8.44114625819906","8.733958390625808","8.53179021383829","8.669997715600593","8.660833079604332","8.621034225099262","8.83770328614507"
"EyesClosed","3.9752108501927537","5.445623757744591","6.853388350393904","5.748357971071939","6.3889398556035175","5.902347639378789","5.863122275471252","7.92858022214793","7.353774100851272","6.852671015424037","6.610045670749237","6.956039207996598","6.643335847901971","6.714992847728215"
"EyesOpened","7.636182479398782","8.072360883348686","8.35663020673306","8.34748951478602","8.796919276820836","6.590760482713904","7.305903050295366","8.42901565120329","8.62306085195301","8.519995217475937","8.811720299039647","7.952736687186747","8.366179267019799","8.8005551957303"
"EyesClosed","6.588427088255165","5.5939100726918305","4.993974455568525","4.218111267504977","5.556380344332014","5.565835324682491","4.520323849269124","4.706977359725555","6.0961439809963895","6.149930585100798","5.738393668314456","5.017386488311156","6.058745437133341","6.462787403695648"
"EyesOpened","8.712057395195348","7.390278261264196","7.0450346555141286","7.675112790984146","8.021923942086477","6.726241398866743","6.282589138008121","5.695131164803286","7.2555321234373835","7.6438336660023944","7.337288587559372","6.49781478903308","7.435098714666269","8.432483293915459"
"EyesClosed","6.970662878550518","5.256949911382526","5.079293455654502","4.778574857564756","5.1656881195629145","4.361628710656786","4.995481698882797","4.418388601150388","5.996329164872935","6.130611177618962","5.612669396919021","5.172719691542092","5.993643459530711","6.394319266370253"
"EyesOpened","8.838555698576554","7.059800805451682","6.99289596703398","6.249931826807054","8.31591391734985","6.263464036048236","6.491205275009748","6.332572109604532","7.280572483857701","7.310321155074399","7.307134345947327","8.305575869037995","7.71336002751941","8.376691109740042"
"EyesClosed","7.055920920034833","4.888655585775744","5.558381936881486","5.386521001276178","5.063135486514027","5.1308910906710175","5.019486959113677","4.3552496929220865","5.95246844091334","5.947164314086741","5.358062739270922","4.881500391192893","5.673869931902774","5.92280841840712"
"EyesOpened","8.492792708214537","7.368017079664259","6.4159814722112944","6.716465808354168","8.27171550761906","6.702404966879894","6.9159640617089435","7.133776126208732","7.650954911172678","7.503003084960897","7.318482290748298","6.654726014372979","7.662260132440806","8.060393253721147"
"EyesClosed","6.005415610378104","5.783802914311274","5.303200989372807","5.421540181933917","5.78338306514104","3.9379200224080524","4.3521456662482585","5.103968788097132","6.280910477963012","6.190274233809974","6.363149159734703","5.837980426581429","5.678998269472669","6.036300104863671"
"EyesOpened","7.017855564442895","7.649397592419104","6.590111001528038","7.181584942365212","6.699003265249774","4.968712970291807","5.648538921200936","6.162573784922714","7.082755519419401","7.293252965676932","6.995803787418421","6.610210679435943","8.03719316984215","7.643198948343179"
"EyesClosed","5.452173849405367","6.385224443855643","5.714708012080577","5.832142526495676","5.680178157202354","4.88451151341874","4.166351108033979","5.160965636510302","5.529820767601728","5.972670799171664","6.176860274543116","6.077010066959112","6.111896441127399","6.363789587150386"
"EyesOpened","7.214035104239876","7.823974282250602","6.272810079301884","7.431192585323139","6.179693090804151","4.430293318445973","6.213863813925433","6.298399523898071","6.571753873187286","7.234284500771411","7.186469952541166","6.055449034071683","7.645920773302235","7.202822655162875"
"EyesClosed","4.227783318278137","7.020118142770143","4.855897636844946","6.371726998929615","5.943440673565363","5.104362787117594","4.770241804621768","5.827265647781648","4.753290553345826","5.997847251992456","5.731128894410592","5.511453126673674","6.4922804379435775","6.203156427692488"
"EyesOpened","8.011218415609097","8.308041063326026","7.610329900012284","7.556792558238388","6.9015607218367325","6.7800036854051005","6.200961188274469","7.1603355510736675","6.717178007239729","7.426081556533075","7.641628367413936","6.439844253248751","8.437378998131722","7.394916623782704"
"EyesClosed","3.8806772764289623","5.7838414787756385","4.604599640610624","5.9104251826227","5.37338883985978","4.380828651937294","4.41382531679227","5.4936781277989875","4.791005117951603","5.3168115065455375","4.980770550994252","5.473151391623881","5.632116970201793","5.265628529817928"
"EyesOpened","6.553606922379393","8.257650834393992","7.0572531388877255","7.21570869379376","6.7144617871568935","5.70465243723137","5.198097476774951","6.919814729291007","6.227322134631973","7.603422382775253","7.4664305610739","6.259914894725467","8.371515667294355","7.144186215667215"
"EyesClosed","4.5528235277051445","6.6786320247798745","5.189615606943126","6.662482371585215","6.199705937343758","5.039057228835714","5.273072917347212","6.056687630064621","5.532538287391055","5.721354391871229","5.601195888018318","5.489975294519538","6.187035361135701","6.247759335452082"
"EyesOpened","7.548999672027358","8.004824464645724","7.461473630073757","7.713245556049872","6.662209090050396","5.212781986232879","5.390026038600737","6.743274399523105","6.24113068473777","7.440353484791317","7.543735142130672","6.603324270443914","8.412808614334537","7.5820313018184"
"EyesClosed","5.158651536777134","6.4960923865277955","7.437221325515316","6.851677953143492","6.600724252768311","6.091210286759698","5.736830506299607","6.59202379159698","6.681866407141367","6.991769558833956","7.259572577990434","7.019859483419943","7.0192619984668605","7.131586636849196"
"EyesOpened","8.16161693822947","8.747656468421319","8.890027554330866","8.865735534898445","8.877932693985697","8.533753017199139","8.549214880911315","8.769954637609578","8.79568563510983","8.830349087072422","8.850171372444182","8.46965531699519","8.87837825376094","8.807225623278635"
"EyesClosed","5.311640752374768","6.784253013018134","7.084877863947797","6.718248699116735","6.574679635362528","5.531203769813387","6.180137625910633","6.208248347630093","6.472799980476878","6.80571723641559","7.028685563846576","6.682417845890802","6.912654974785267","7.0090146368636725"
"EyesOpened","7.238790471341854","8.587165089308389","8.681275898306051","8.788686669558968","8.765039856662337","8.014331387737082","8.448435637638298","8.434193076401554","8.377403380200484","8.711427617290733","8.727624520223902","7.944554821729767","8.692840637792022","8.6532011634379"
"EyesClosed","4.811812661278511","6.426932340955035","7.6828024346287895","6.505285329692117","6.307136964323316","5.974195764454488","5.714848254088354","6.442232164031109","6.618337914260081","6.578409736369891","7.000730611400997","6.655312119200845","6.775424709269683","6.76583075259861"
"EyesOpened","7.423806244767388","8.607966663241312","8.502897173594077","8.677355671546218","8.567443077596884","7.887882582574069","8.818845987503465","8.520656358062535","8.456493054918708","8.728770342781011","8.602883390824017","8.553496561280452","8.760183179953327","8.590019876938145"
